ID,Вопрос пользователя,Нормализованный вопрос,Аудитория,Категория,Интент,Главный источник,Gena/API mapping,Черновик ответа,Где посмотреть самому,Кто ответственный,Куда задать вопрос,Статус,Приоритет,Sensitive?,Правило против галлюцинаций,Теги,Заметки
18,Какие инструменты вы используете на курсе по нейросетям?,Инструменты на курсе по нейросетям,"продажи, тренер",Направления и рекомендации,ai_course_tools,"Гена: Gena_Directions, направление по нейросетям, поля desc, note, downloadLink","Gena_Directions: desc, note, downloadLink; при необходимости Materials","Ответ для сотрудника: «На курсе по нейросетям используются инструменты, которые указаны в Гене: {список из описания/заметки/материала}. Актуальный набор может меняться, поэтому если инструмент не указан в Гене, его не обещаем». Если список инструментов в Гене не найден, сказать: «В описании Гены инструменты не перечислены, нужно уточнить у заведующего нейросетей».",Описание направления и памятка родителя,Заведующий нейросетей,чат нейросетей,на проверке,high,нет,"Указывать актуальность и доступность инструментов, если есть данные.",нейросети; инструменты,Бот не придумывает список AI-инструментов; берет только из Гены/материала.
19,"У нас есть тренеры, которые преподают английский с британским/другим акцентом",Тренеры с нужным акцентом/вариантом английского,"продажи, админ",Направления и рекомендации,teacher_language_accent,Гена/таблица тренеров,GET /teachers?language=en&accent=...,"В доступных источниках нет подтверждения, какие тренеры преподают английский с британским или другим акцентом. Такой ответ нельзя давать без базы тренеров или профилей с языковыми характеристиками. Можно сказать: «Я не нашёл подтверждения в базе. Нужно передать запрос ответственному за английское направление или расписание, чтобы проверить доступных тренеров под такой запрос». Можно проверить акцент по видеовизитке тренера в ген.",Таблица тренеров; CRM,Координатор тренеров,чат админов,требует заполнения,medium,нет,Не обещать конкретного тренера без проверки доступности.,английский; акцент; тренер,
20,На пробное нужен установщик?,Нужен ли установщик на пробное занятие,"продажи, админ, тренер",Направления и рекомендации,trial_installer_required,"Гена: Gena_Directions, поля visibility, note, lessonsFormats","Gena_Directions: visibility, note, lessonsFormats","Ответ для сотрудника: «На пробное по {направление}: {нужен/не нужен} установщик». Основание брать из заметки Гены. Если там написано, что перед пробным ничего устанавливать не нужно, отвечать «не нужен». Если указана подготовка или установка, отвечать «нужен» и перечислить ее. Если данных нет, сказать: «В Гене нет подтверждения по пробному, уточните в техподдержке».",Карточка направления в Гене,Технический отдел / админ пробных,чат техподдержки,на проверке,high,нет,Отличать пробное от основного курса.,пробное; установщик,Для пробного проверять downloadLink/note полной карточки и onlyTrial-направления.
21,Опционально пока: А эти нейросети актуальные? Работают ли в РФ и РБ? Нужен ли VPN?,"Актуальность AI-инструментов, доступность РФ/РБ, VPN","продажи, тренер",Направления и рекомендации,ai_tools_availability,"Сервисы, доступные школе (безопасная версия); Справочник тренера → Как установить ВПН; Справочник тренера → Инструкция по работе с агрегатором нейросетей Chad; агрегаторы: Chad, OpenRouter, Poe, You.com, Perplexity, Merlin, Monica, Sider, MaxAI, ChatLabs — только если они добавлены/проверены в базе сервисов",Не найдено в Gena_Directions; нужна таблица AI services status,"Актуальность нейросетей, доступность в РФ/РБ и необходимость VPN нужно проверять по базе «Сервисы, доступные школе», инструкции по VPN и инструкции по агрегатору нейросетей Chad. Если прямой доступ к ChatGPT, Claude, Gemini или другим нейросетям нестабилен, можно смотреть агрегаторы нейросетей: Chad, OpenRouter, Poe, You.com, Perplexity, Merlin, Monica, Sider, MaxAI, ChatLabs. Но бот не должен обещать, что конкретный сервис точно работает в РФ/РБ или без VPN: доступность часто меняется. Если по сервису нет актуального статуса в базе, нужно ответить: «В доступных источниках нет подтверждения, что сервис сейчас работает в РФ/РБ и нужен ли VPN. Проверьте базу сервисов или уточните у ответственного». Не рекомендовать случайные VPN или способы обхода, которых нет в справочнике.","Сервисы, доступные школе; Справочник тренера → Как установить ВПН; Справочник тренера → Инструкция по работе с агрегатором нейросетей Chad; база/памятка по нейросетям",Заведующий нейросетей / техотдел,чат нейросетей / техподдержка,на проверке,high,да,Не утверждать доступность без свежей даты проверки.,нейросети; РФ; РБ; VPN,В Gena_Directions нет статуса сервисов по странам.
22,Есть ли образовательная лицензия?,Наличие образовательной лицензии,"продажи, маркетинг, админ",Актуальность и качество информации,education_license,Справочник Айтигенио / юридический блок,Notion: legal_license,"Нет, мы не получали лицензию. Наше обучение строится на идеях и инструментах гуманной педагогии и неформального образования. Наши ключывые образовательные принципы - студентоориентованный подход и развитие суъебктности ребенка .
Среди преподаватей и методистов много сильных образованцев, учеников Зицера и участников Шалаша, выпускников School of Education.
В штате есть детские психологи и коучи, которые поддерживают преподавателей и помогают разрешить спорные ситуации.  
Все наши учителя проходят обязательное обучение и аттестацию в Лаборатории тренеров (включает в себя темы: Проектирование урока, Мотивация и развивающая обратная связь, Навыки коммуникации с ребёнком и подростком, Саморегуляция и профессиональная устойчивость ). 

В том, что это не просто слова, можно убедиться, почитав отзывы на нас на популярных площадках. ",Юридический справочник; сайт,Юридический/операционный ответственный,чат админов,требует заполнения,high,нет,Отвечать строго официальной формулировкой.,лицензия; юридическое,
23,Чем мы можем подтвердить качество услуг?,Подтверждение качества услуг,"продажи, маркетинг",Актуальность и качество информации,quality_proof,Справочник продаж / маркетинг,Notion: quality_proof,"Наше обучение строится на идеях и инструментах гуманной педагогии и неформального образования. Наши ключывые образовательные принципы - студентоориентованный подход и развитие суъебктности ребенка .
Среди преподаватей и методистов много сильных образованцев, учеников Зицера и участников Шалаша, выпускников School of Education.
В штате есть детские психологи и коучи, которые поддерживают преподавателей и помогают разрешить спорные ситуации.  
Все наши учителя проходят обязательное обучение и аттестацию в Лаборатории тренеров (включает в себя темы: Проектирование урока, Мотивация и развивающая обратная связь, Навыки коммуникации с ребёнком и подростком, Саморегуляция и профессиональная устойчивость ). 

В том, что это не просто слова, можно убедиться, почитав отзывы на нас на популярных площадках. ",Отзывы; кейсы; лицензии; сертификаты,Маркетинг / продажи,чат продаж,требует заполнения,medium,нет,Использовать только подтвержденные доказательства.,качество; доказательства,
24,Какие направления рекомендовать ученикам? А какие нет?,Политика рекомендаций направлений,"продажи, тренер",Направления и рекомендации,direction_recommendation_policy,"Гена: Gena_Directions, поля visibility, minAge, maxAge, requiredSkillId, desc, note","Gena_Directions: visibility, minAge, maxAge, requiredSkillId, desc, note","Ответ для сотрудника: «Рекомендовать можно направления, которые подходят по возрасту, видимы для записи и соответствуют запросу в описании Гены. Не рекомендовать как первый шаг: скрытые направления, направления с prerequisite без нужной базы, неподходящие по возрасту или с ограничениями в заметке. Вместо запрета предлагать альтернативу: {альтернатива из Гены}».",Страница Главное про продукт в гене,Продажи / методисты,чат продаж,на проверке,high,нет,Не запрещать направление без политики/критерия.,рекомендации; направления,Это правило для рекомендаций поверх реальных полей Гены.
25,"Мама говорит, что не видит прогресса, что ей ответить?",Ответ родителю про прогресс ученика,"тренер, продажи",Методика и сложные ситуации,parent_progress_objection,Скрипты админам → Родитель не видит прогресс в обучении; Материалы Академии тренеров → Как общаться с родителями; 1.2 Что поддерживает мотивацию и как действовать тренеру; 5. Мини-курс “Партнерский стиль и тактики партнёрского влияния”; Справочник тренера → Проблемы с прогрессом ученика; Проблемы с материалами и проектами; Индивидуальный трек,Notion: parent_communication,"Если родитель говорит, что не видит прогресса, сначала важно признать его тревогу: «Понимаю, что вам важно видеть результат обучения». Затем нужно перейти к фактам: посмотреть прогресс в Гене, отчёты, выполненные задания, проекты, динамику самостоятельности и то, что ребёнок уже умеет делать лучше, чем раньше. Если прогресс не отображается, проверить, выбраны ли модуль/ветка для прогресса и корректно ли заполнены материалы. В ответе родителю лучше не спорить, а предложить понятный следующий шаг: сверить цель обучения, показать конкретные результаты и договориться, по каким признакам будем отслеживать прогресс в ближайшие занятия.",Скрипты админам → Родитель не видит прогресс в обучении; Академия тренеров → БД материалов; Справочник тренера → Проблемы с прогрессом ученика / Проблемы с материалами и проектами / Индивидуальный трек,Методист / куратор,чат поддержки тренеров,требует заполнения,high,да,"Не спорить с родителем; предложить факты, примеры работ, план.",прогресс; родитель; коммуникация,
26,Что планируется на лето/зиму/квартал?,Планы школы на сезон/квартал,все,Актуальность и качество информации,season_plans,План маркетинга/продукта,Notion: seasonal_plans,,Дорожная карта; анонсы,Маркетинг / продукт,чат маркетинга,требует заполнения,medium,нет,Не анонсировать планы без статуса “можно сообщать”.,лето; зима; квартал,"Сделать на странице Главное про продукт БЛОК : запуски q1/q2/q3/q4, летние/зимние каникулы"
27,"По какой системе преподают ментальную арифметику, подготовку к школе, финграмотность, мягкие навыки? Что в основе",Методическая основа не-IT направлений,"продажи, тренер",Направления и рекомендации,methodology_basis,"Гена: Gena_Directions, поля desc, note, downloadLink","Gena_Directions: desc, note, downloadLink","Ответ для сотрудника: «В Гене направление {направление} описано так: {краткое описание из desc/note}. Если в описании указана методика или основа, назвать ее. Если методика отдельно не указана, сказать: «Методическая основа в Гене не прописана, нужно уточнить у заведующего направления». Не придумывать педагогическую систему».",Лист Gena_Directions и материал направления,Заведующий направления,чат направления,на проверке,medium,нет,Не придумывать педагогические системы.,методология; основа,"Для методической основы часто нужен владелец направления, если ее нет в описании."
28,"Помогаем ли мы поступить, подобрать вуз, консультируете ли вы? Готовите к поступлению?",Помощь с поступлением/вузом/консультациями,продажи,Направления и рекомендации,admission_consulting,Нужен отдельный источник: справочник услуг/продаж,Не найдено в Gena_Directions; нужен справочник услуг/продаж,"Ответ для сотрудника: «В данных направлений Гены нет услуги по поступлению, подбору вуза или консультации по поступлению. Мы можем развивать навыки в рамках направлений, но не обещаем поступление и не заменяем консультацию приемной комиссии/профориентолога. Нестандартный запрос передать в продажи или продукт».",Пока не найдено в данных направлений Гены,Продажи / продукт,чат продаж,на проверке,medium,нет,Не обещать услугу без подтверждения.,поступление; вуз,"Нужен отдельный справочник услуг, если такая услуга есть."
29,"К кому обратиться с вопросом: мне не нравятся материалы, хочу разрабатывать материалы, хочу редактировать и т.д.",Обратная связь и разработка материалов,тренер,Процессы тренера,materials_feedback,Справочник тренера,Notion: materials_feedback,К заведующему направлением,Регламент работы с материалами,Методический отдел,чат методистов / форма материалов,требует заполнения,medium,нет,Дать путь обратной связи и критерии отбора.,материалы; разработка; редактура,
30,"Есть ли у нас N направлене? Если нет, то что делать? Как поступать с клиентом?",Проверка наличия направления и действия при отсутствии,"продажи, админ",Направления и рекомендации,missing_direction_handling,"Гена: Gena_Directions, поля title, visibility, desc","Gena_Directions: title, visibility, desc, minAge","Ответ для сотрудника: если направление найдено в Гене, сказать: «Да, у нас есть {направление}. Кратко: {desc}. Возраст: с {minAge}, если указан». Если направление найдено, но скрыто/только для админов, сказать: «В Гене направление есть, но обычную запись нужно уточнить». Если не найдено, сказать: «В актуальном списке Гены такого направления нет. Но можно отнести заявку в таблицу» и предложить ближайшие похожие направления из Гены.",Список направлений в гене + Зявки на новые направления https://docs.google.com/spreadsheets/d/1D0qy7_OW-cSeF4Bm-AnzZCuERTSbj1-wvU8d4D5qewQ/edit?gid=0#gid=0,Продажи / продукт,чат продаж,на проверке,high,нет,"Если направления нет, не обещать запуск; предложить альтернативы/лист ожидания, если есть.",нет направления; клиент,"Бот ищет по названию и описанию, не обещает запуск нового направления."
31,"Есть ли у нас на направлении N материалы на англ, немецком, испанском, украинском, иврите и т.д. языках.",Материалы направления на разных языках,"продажи, админ, тренер",Направления и рекомендации,materials_language_availability,"Гена: Gena_Directions, поля languages, visibleLanguages, downloadLink","Gena_Directions: languages, visibleLanguages, downloadLink","Ответ для сотрудника: «По {направление} в Гене есть языковые версии: {languages}. Доступные/видимые версии: {visibleLanguages}». Если нужного языка нет, сказать: «В Гене материалы/версия на {язык} не указаны». Не обещать перевод или наличие полного комплекта материалов без подтверждения по материалам.",Страница Материалы в Гене,Заведующий направления / локализация,чат направления,на проверке,medium,нет,Указывать язык только если есть материалы.,языки; материалы,GENA показывает языковые версии направления; полный комплект материалов может требовать проверки downloadLink/materials.
32,"Есть ли у нас на направлении N тренеры, готовые вести на англ, немецком, испанском, украинском, иврите и т.д. языках.",Тренеры направления на разных языках,"продажи, админ",Направления и рекомендации,teacher_language_availability,Нужен отдельный источник: CRM/таблица тренеров,Не найдено в Gena_Directions; нужен источник trainers/languages/availability,"Ответ для сотрудника: «По Гене видно языковые версии направления, но не видно готовность конкретных тренеров вести на этом языке. Чтобы подтвердить занятия на {язык}, нужно проверить таблицу тренеров/CRM и расписание. Пока не подтверждено, отвечаем: “Можем проверить возможность и передать запрос координатору тренеров”».",Пока не найдено в данных направлений Гены,Координатор тренеров,чат админов,на проверке,medium,нет,Проверять готовность и доступность тренера отдельно.,языки; тренеры,Данные направлений не подтверждают наличие свободного тренера.
33,"Можно ли заниматься на направлении на планшете, телефоне",Совместимость направления с планшетом/телефоном,"продажи, тренер",Направления и рекомендации,device_compatibility,"Гена: Gena_Directions, поля operationSystems, tabletSystems, note","Gena_Directions: operationSystems, tabletSystems, note","Ответ для сотрудника: «Для {направление} подходят устройства/ОС: {operationSystems}; планшеты: {tabletSystems или “не указаны”}. Если в заметке написано, что нужен компьютер/ноутбук, сказать это прямо. Если планшет разрешен, уточнить ограничения. Телефон считать неподтвержденным, если он прямо не указан в Гене».",Карточка направления в Гене,Технический отдел / заведующий направления,чат техподдержки,на проверке,high,нет,Не обещать мобильное прохождение без требований.,планшет; телефон; устройства,Бот берет устройства из operationSystems/tabletSystems/note.
34,"Хочу отказаться от ученика, что делать?",Процесс отказа тренера от ученика,тренер,Процессы тренера,drop_student_process,Справочник тренера,Notion: drop_student,"Пишете полный и развернутый комментарий для родителей (не нужно им обещать смену тренера, смену программы и т.д., не нужно оценивать ребенка, а только его работу на занятии и вне занятий). Пишете в примечании все косяки и особенности ребенка (для будущего тренера) Пишете в АП, что не ""вывозите"" его и просите убрать. Только после выполнения указанных пунктов администраторы проверят, какое время и с каким тренером можно предложить этому ученику.",Регламент тренера,Куратор / админ,чат поддержки тренеров,требует заполнения,high,да,Не советовать бросать ученика без регламента; предложить эскалацию.,отказ; ученик,
35,"Хочу отказаться от направления, что делать?",Процесс отказа тренера от направления,тренер,Процессы тренера,drop_direction_process,Справочник тренера,Notion: drop_direction,Напиши заведующему направлением,Регламент тренера,Куратор / заведующий направления,чат поддержки тренеров,требует заполнения,medium,нет,Дать официальный процесс и сроки.,отказ; направление,
36,"Хочу взять направление, что делать?",Как тренеру взять новое направление,тренер,Процессы тренера,take_direction_process,Справочник тренера,Notion: take_direction,"Открой раздел “Направления” в Гене, найди нужное направление и там будет указан заведующий этим направлением. В разделе “Материалы” найди направление, которое хочешь вести и открой методичку для тренера, там будет инструкция как начать вести направление (изучение материала/практическое задание/тест) Как все сделаешь пиши заву",Регламент обучения тренеров,Куратор / заведующий направления,чат поддержки тренеров,требует заполнения,medium,нет,"Указать условия допуска/обучения, если они есть.",взять направление,
